,Training Loss,Validation Loss
Epoch 1,2.1145346384048462,1.6839043713849167
Epoch 2,1.3082647053837777,1.5944853003682762
Epoch 3,1.3019576577544212,1.5192210992862438
Epoch 4,1.2789380482912063,1.5337659952969387
Epoch 5,1.2636176445245744,1.6050382657297726
Epoch 6,1.2448391875267029,1.6286069216399357
Epoch 7,1.222580296421051,1.5268795099751702
Epoch 8,1.1914225071668625,1.435036123826586
Epoch 9,1.1671835640668868,1.4291203710539588
Epoch 10,1.1580257372617722,1.5177143031153186
Epoch 11,1.1431078316569327,1.4244977585200607
Epoch 12,1.1350675400614738,1.3835121095180511
Epoch 13,1.10834593821764,1.4747677116558469
Epoch 14,1.097238694831729,1.314816013492387
Epoch 15,1.0900999502182007,1.4320743721106957
Epoch 16,1.0691337194919586,1.3853191008855557
Epoch 17,1.0463042698085308,1.3356127230257824
Epoch 18,1.0435361868143083,1.3595103508439557
Epoch 19,1.0290975903213024,1.5238087187553275
Epoch 20,1.0002725108385087,1.4244077842811058
