,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.5967549435056293,0.7262790163292354,0.5680083055407403,0.5710897153208734,0.6638536507058154,0.6251971262804588
Epoch 2,0.6408087809321251,0.7462462250806822,0.5890534286857793,0.6059632058311,0.7185512434721526,0.6601245768003677
Epoch 3,0.6689360865873158,0.7594080194918513,0.5981248406607242,0.6060147563996154,0.7439377958811199,0.6752842998041253
Epoch 4,0.7142665526904727,0.7613479738462231,0.6192307017219156,0.6195885049935169,0.7678568394782299,0.6964581145460716
Epoch 5,0.736071029865275,0.7763198247657341,0.6238319247176556,0.6348577685743882,0.7838057723125657,0.7109772640471237
Epoch 6,0.7551644690775156,0.7879450756944204,0.6066148543567333,0.629933849856204,0.7962557711337218,0.7151828040237189
Epoch 7,0.7790819974707451,0.7872387972075854,0.6401633858633761,0.6372375877316362,0.8083197419580317,0.7304083020462748
Epoch 8,0.7845992447532872,0.7910661101723705,0.6407101140013323,0.6534302928422875,0.8193845343324381,0.7378380592203431
Epoch 9,0.7951749136596797,0.8054881562064292,0.6479620821618041,0.6595379242077273,0.8202148607473453,0.7456755873965971
Epoch 10,0.7976778718254925,0.8078172483321439,0.6442275257979737,0.6637214701056822,0.8261528095314373,0.7479193851185459
Epoch 11,0.8067693176015124,0.8120527214482918,0.6543371303654649,0.666080723351257,0.838091354845152,0.7554662495223357
Epoch 12,0.8088670584532152,0.8069653336954912,0.6619040841426074,0.6742151709866684,0.8411391427448061,0.7586181580045578
Epoch 13,0.8154567373599686,0.8210412886189682,0.6580389282251616,0.6785298400021449,0.8480413597338864,0.764221630788026
Epoch 14,0.8213246670480581,0.8260949514350806,0.6573804562242982,0.6846521366155245,0.8511814615027761,0.7681267345651475
Epoch 15,0.827343714909147,0.8264267441829916,0.6743260741530884,0.6888966889573498,0.8626523048822856,0.7759291054169724
Epoch 16,0.8392603866277933,0.83590112727685,0.6674916248582998,0.6973242687287685,0.8677776965878019,0.7815510208159028
Epoch 17,0.8435952500271131,0.8421597176624087,0.676390815731937,0.7020703527989565,0.8752000350532665,0.7878832342547364
Epoch 18,0.8436562267614445,0.8464422541171706,0.673748933610764,0.7153348720486743,0.8825967813404285,0.7923558135756963
Epoch 19,0.8521175649086749,0.8546447650107041,0.6851579298780324,0.7151869357428582,0.8884516476422084,0.7991117686364955
Epoch 20,0.8544434611100361,0.8635920791314841,0.6798060418499015,0.7329378604805589,0.8968894169993433,0.8055337719142649
