,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.4894734831066649,0.5436260475950558,0.5067713652788705,0.5071676275860523,0.5378844634284521,0.5169845973990191
Epoch 2,0.5965488050810298,0.7132747312665682,0.5584482096738904,0.5902063104117483,0.6888138257225099,0.6294583764311494
Epoch 3,0.6311147155920687,0.74864243867215,0.5734346605132814,0.5888744392579504,0.710852266777894,0.650583704162669
Epoch 4,0.6447016733127777,0.7484713383004734,0.6004018608220629,0.6055788973303768,0.7287106014807665,0.6655728742492915
Epoch 5,0.6553729106754378,0.7622730223343457,0.5887080306647404,0.6142029766108059,0.743098238079289,0.6727310356729238
Epoch 6,0.692481753969731,0.7765537267798126,0.5811687087292812,0.6045898818973512,0.7552954789260872,0.6820179100604526
Epoch 7,0.7213431189078969,0.7661117285174428,0.5960659208849974,0.6144804065621503,0.7677993708441423,0.6931601091433259
Epoch 8,0.7449652940018396,0.7719703184179686,0.6198791810756293,0.6351148548147861,0.7809433705986654,0.7105746037817778
Epoch 9,0.7603296220474928,0.7896731818697165,0.6234278742024781,0.6444876024092286,0.7899103627995736,0.7215657286656979
Epoch 10,0.7714760543658328,0.7973721933526661,0.6140347858819015,0.6385291171091152,0.8003423717712683,0.7243509044961568
Epoch 11,0.7842389878532757,0.7997117439980729,0.6358835785355158,0.6391912752736663,0.8129470504982003,0.7343945272317461
Epoch 12,0.7879602452870763,0.8005739908437934,0.6470387615651858,0.6475393812519569,0.8225840983682722,0.7411392954632569
Epoch 13,0.8005320418619841,0.8116633057935753,0.6381111568166103,0.6449234121005281,0.8294376880515861,0.7449335209248567
Epoch 14,0.8072013611489604,0.8151030977630085,0.6348537276310248,0.6606973429089007,0.8368632553354816,0.7509437569574752
Epoch 15,0.8149902344568671,0.8170280211530887,0.6398458803617721,0.6596089049953143,0.8467336449294809,0.7556413371793046
Epoch 16,0.8270662751801483,0.8243193019407982,0.6446148060444566,0.6718096506120717,0.8563573224574593,0.7648334712469869
Epoch 17,0.8309452249790003,0.8304083834685462,0.6495908836471807,0.6831016199469888,0.8625024573691952,0.7713097138821821
Epoch 18,0.8279009328381421,0.8369600397646055,0.6460907634747372,0.6835553538302146,0.8679881332037993,0.7724990446222998
Epoch 19,0.8424966540009784,0.841119423360675,0.647236355300995,0.6921887161632116,0.8781162648542985,0.7802314827360316
Epoch 20,0.8492439811506884,0.8515142824980564,0.6555878622182529,0.7045511498418497,0.8852433289577428,0.7892281209333181
